Orthogroup	AT	AagrBONN	AmTr	Azfi	Cericv	EFJ	GBG	Klenit	ME	Os	PILA	PTQ	Potri	Pp	SEGI	SM	Sacu	TnS	VIT	Vocar	Zm
OG0000113	14	7	2	6	37	6	5	8	3	12	21	10	16	18	17	1	5	5	11	12	17
OG0000177	9	5	7	9	29	5	3	2	3	8	12	5	10	9	13	7	7	7	9	13	13
OG0000302	7	4	5	5	11	4	7	7	5	4	12	6	8	8	9	11	8	6	7	1	7
OG0000364	8	4	7	4	9	4	2	2	4	6	18	2	8	7	5	6	7	5	6	4	10
OG0000455	6	2	7	7	8	0	3	2	2	6	14	2	9	4	7	3	10	5	9	1	5
OG0000688	7	8	5	3	4	2	2	3	0	9	7	5	8	3	3	0	3	6	6	0	5
OG0000701	4	3	14	6	2	2	3	2	4	4	1	2	7	2	4	8	4	5	6	1	4
OG0000758	4	2	4	4	5	2	1	1	2	7	6	2	6	7	6	3	4	6	5	1	6
OG0000803	6	2	3	5	3	4	2	2	3	3	10	2	6	5	4	5	2	3	4	1	6
OG0000804	7	1	3	3	9	6	3	1	1	4	6	1	6	8	5	0	2	2	6	0	7
OG0000854	3	7	3	4	6	3	4	2	2	2	6	2	3	3	5	3	5	7	2	1	5
OG0000904	3	1	2	3	6	2	1	3	2	4	4	3	7	9	5	4	4	3	3	1	5
OG0000989	4	1	2	3	4	2	3	2	2	4	7	2	4	4	7	5	1	3	4	3	4
OG0001006	4	1	2	4	4	2	5	1	1	5	8	1	7	2	5	3	4	2	2	3	4
OG0001422	3	1	7	0	1	1	0	1	1	1	10	2	5	2	8	1	0	8	3	0	2
OG0001500	3	2	3	2	2	2	2	3	2	2	5	2	4	3	3	3	3	2	3	1	3
OG0001623	2	2	2	3	6	3	2	1	1	3	2	1	4	2	3	3	4	2	2	1	4
OG0001628	3	1	1	4	3	1	1	1	1	4	7	1	4	1	2	4	3	3	2	1	5
OG0001639	4	1	5	2	2	1	1	0	0	4	6	3	5	4	5	0	1	1	4	0	4
OG0001660	3	1	2	3	2	2	2	1	2	2	4	1	5	2	3	0	2	2	6	0	7
OG0001666	3	2	2	6	2	1	1	1	2	3	5	2	3	1	7	0	4	1	5	0	1
OG0001740	2	3	3	3	2	2	2	1	1	3	5	2	2	6	2	3	3	2	1	1	2
OG0001814	5	1	3	3	4	2	3	0	1	4	2	0	5	0	2	0	1	3	4	0	7
OG0001848	5	3	2	2	1	6	2	2	2	3	2	1	4	2	1	1	2	1	2	1	4
OG0001903	3	1	4	2	2	1	1	1	1	3	3	2	4	2	4	3	1	3	3	1	3
OG0001928	3	2	2	2	2	3	1	1	3	1	1	3	4	3	5	3	2	2	3	1	1
OG0001953	4	0	1	3	3	1	1	1	1	2	4	1	4	1	3	3	4	4	2	1	4
OG0002135	2	1	2	1	11	0	1	1	1	2	2	1	3	3	2	3	3	2	1	0	3
OG0002162	1	1	1	3	1	1	2	4	3	4	5	1	3	1	5	3	2	1	1	0	2
OG0002223	6	2	1	2	2	2	2	1	1	2	2	3	2	2	1	4	2	1	2	1	3
OG0002228	3	1	5	3	2	1	1	3	0	1	3	2	4	2	2	0	2	3	2	0	4
OG0002245	2	1	1	2	2	1	4	1	1	1	2	1	3	2	6	3	2	3	4	1	1
OG0002360	2	1	2	3	7	0	1	1	1	2	4	1	3	2	2	3	2	1	1	2	2
OG0002427	2	1	2	2	3	1	1	1	1	2	5	1	4	2	3	3	1	2	2	1	2
OG0002450	3	1	2	2	3	2	1	1	1	2	3	1	2	2	3	3	3	2	2	1	2
OG0002711	2	2	2	2	1	1	1	1	1	2	2	1	4	2	2	3	1	2	2	0	5
OG0002733	2	2	1	2	3	1	2	0	1	2	2	1	4	3	4	0	2	2	3	0	2
OG0002768	2	2	1	3	2	3	2	1	1	3	1	1	3	2	0	3	1	4	2	1	1
OG0002780	2	1	2	1	3	2	1	1	1	1	1	2	3	4	2	3	4	2	1	1	1
OG0002782	2	1	1	2	2	2	1	1	1	3	4	1	1	4	3	3	1	2	1	0	3
OG0002873	1	1	2	1	2	1	1	1	1	3	6	1	2	2	3	5	1	1	1	1	1
OG0002971	2	2	2	0	2	1	1	1	1	3	4	1	4	1	3	2	1	2	2	1	1
OG0003159	2	1	1	1	1	1	2	1	1	1	1	1	4	3	1	6	1	1	2	1	3
OG0003271	1	2	1	1	1	0	0	1	3	2	3	1	2	4	1	3	1	1	6	0	1
OG0003324	1	1	1	2	3	2	2	1	1	1	2	2	1	4	0	4	3	1	1	1	1
OG0003458	2	1	1	2	1	1	1	1	1	1	2	1	2	3	1	3	5	1	1	1	2
OG0003530	2	1	2	1	1	1	0	1	1	2	2	1	4	4	2	3	0	1	2	0	3
OG0003656	2	1	1	2	2	0	1	1	0	5	3	1	2	2	1	0	2	2	1	1	3
OG0003720	1	2	1	3	2	1	1	1	1	2	2	1	2	1	2	3	2	1	1	1	2
OG0003909	1	1	1	2	2	1	1	1	1	6	1	1	2	2	1	0	1	1	2	1	3
OG0003992	3	0	2	2	2	0	0	0	0	2	3	0	4	0	4	0	2	2	2	0	4
OG0004086	2	3	1	1	1	1	1	1	1	1	1	1	3	2	2	3	1	1	2	1	1
OG0004095	1	1	1	1	1	1	1	1	1	2	2	1	1	3	2	3	1	1	1	1	4
OG0004113	1	1	2	1	1	1	1	1	1	1	1	1	2	2	4	4	1	2	1	1	1
OG0004142	2	1	2	2	1	1	3	1	1	1	2	1	2	2	1	3	0	1	2	1	1
OG0004148	1	1	1	1	1	0	2	1	1	1	2	1	2	2	0	4	1	6	1	0	2
OG0004158	1	1	1	2	1	1	1	1	1	2	3	1	2	1	1	0	1	1	2	1	6
OG0004161	1	2	1	1	1	3	1	1	1	1	2	1	1	1	4	3	1	2	1	1	1
