#FamilyID	pvalue	Significant at 0.05
OG0000274	0	y
OG0000571	0	y
OG0000640	0.002	y
OG0001464	0.332	n
OG0001580	0.189	n
OG0001936	0.53	n
OG0002104	0.136	n
OG0002287	0.109	n
OG0002657	0.065	n
OG0002668	0.98	n
OG0002809	0.016	y
OG0003284	0.64	n
OG0004673	0.666	n
OG0005472	0.994	n
OG0005797	0.942	n
OG0007661	0.991	n
